incident_number,incident_types,reported_date,nearest_populated_centre,province,company,status,latitude,longitude,approx_vol_released,substance,release_type,significant,year,occurrence_date_and_time,discovered_date_and_time,detailed_what_happened,what_happened_category,detailed_why_it_happened,why_it_happened_category,duration_of_interruption_of_pipeline_operations,pipeline_or_facility_type,activity_being_performed_at_time_of_incident,how_the_incident_was_discovered,closed_date,pipeline_or_facility_equipment_involved,rupture,incident_type,released_substance_type,released_volume_m3,pipe_body_release,residual_effects_on_the_environment,source_of_explosion,source_of_fire,activity_at_time_of_fatality,number_of_fatalities,type_of_injury,number_of_individuals_injured,workdays_lost,work_restricted_by_injury,conditions_that_resulted_in_the_operation_beyond_limits,conditions_that_resulted_in_adverse_effects_on_the_environment,number_of_people_evacuated,regulation,pipeline_name,pipeline_outside_diameter_nps,pipeline_length_km,substance_carried,facility_name,facility_type,facility_latitude,facility_longitude,country,affects_company_property,off_company_property,affects_pipeline_right_of_way,affects_off_pipeline_right_of_way,land_use,population_density,kilometre_post,emergency_level,investigation_type,was_neb_staff_deployed,related_neb_event_number,equipment_or_component_involved,design_standard,nominal_pipe_size,material,material_grade,schedule,design_wall_thickness_mm,custom_design_wall_thickness_mm,actual_wall_thickness_mm,licensed_maximum_operating_pressure_k_pa,restricted_operating_pressure_k_pa,actual_operating_pressure_at_time_of_failure_k_pa,designed_depth_of_cover_m,actual_depth_of_cover_m,year_of_manufacture,year_of_installation,year_when_put_into_service,most_recent_cathodic_protection_reading_at_incident_site_m_v_vs_cu_cu_so4,weld_type,seam_type,seam_joining_method,seam_clock_position,coating_location,coating_type,coating_condition,application_method,year_when_the_coating_was_applied,insulation_installed,repair_type,repair_date,equipment_or_component_has_never_been_inspected,most_recent_inspection_date_for_the_failed_equipment_or_component,type_of_most_recent_inspection,most_recent_inspection_part_of_the_routine_inspection_program,no_maintenance_done_on_this_equipment_or_component,date_of_the_most_recent_maintenance_work_for_the_failed_equipment_or_component,most_recent_maintenance_type,most_recent_maintenance_work_part_of_the_routine_maintenance_program,reported_year,reported_month,reported_day
INC2016-104,Operation Beyond Design Limits,2016-08-30,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.830119,-118.646961,0,Not Applicable,Not Applicable,No,2016,8/29/2016 4:59,8/29/2016 4:59,"Damage or deterioration mechanism, Other Causes, Unknown",Other Causes,"Job or system factors, Inadequate engineering, Inadequate assessment of operational readiness",Engineering and Planning,No pipeline interruption,Transmission,Operation,SCADA,3/13/2018,Yes,No,Operation Beyond Design Limits,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Over Pressure,NA,0,OPR,GRANDE PRAIRIE MAINLINE LATERAL LOOP,762,32.88459159,Natural Gas,NA,NA,NA,NA,Canada,Yes,No,No,No,Agricultural Cropland,10 or fewer dwelling units per km,GPM90-GPM82,Level I,Standard Review - 168 days,No,NA,"Pipeline, Pipe, Body",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Yes,NA,NA,No,Yes,NA,NA,No,2016,8,30
INC2016-103,Release of Substance,2016-08-29,Patricia,Alberta,NOVA Gas Transmission Ltd.,Closed,50.696946,-111.53471,1.5,Lube Oil,Liquid,No,2016,8/26/2016 2:18,8/26/2016 2:18,"Damage or deterioration mechanism, Cracking, Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria",Engineering and Planning,No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),10/20/2017,Yes,No,Release of Substance,Lube Oil,1.5,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,ALDERSON LATERAL EXTENSION - NPS 16,406.4,17.49203642,Natural Gas,NA,Meter,NA,NA,Canada,Yes,No,No,No,Shrub Land,10 or fewer dwelling units per km,N/A,Level I,Standard Review - 168 days,No,NA,"Station/Facility, Compression, Compressor;Pipeline, Fitting, Swage, Body",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2016,8,29
INC2016-102,Fire,2016-08-29,Marten River Ontario,Ontario,TransCanada PipeLines Limited,Closed,46.655465,-79.710737,0,Not Applicable,Not Applicable,No,2016,8/29/2016 11:00,8/29/2016 11:00,"Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Fire and explosion hazards","External Interference, Incorrect Operation","Job or system factors, Inadequate maintenance, Inadequate preventive, Cleaning or resurfacing",Maintenance,No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),11/2/2016,Yes,No,Fire,NA,NA,NA,No,NA,Other Event (Nature or 3rd Party),NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Natural Gas,NA,NA,NA,NA,Canada,No,No,Yes,No,Forests,10 or fewer dwelling units per km,MLV 114+6.245,Level I,Standard Review - 168 days,No,NA,Vehicle / mobile equipment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2016,8,29
INC2016-101,Operation Beyond Design Limits,2016-08-29,Chisholm,Alberta,NOVA Gas Transmission Ltd.,Closed,54.972665,-114.291775,0,Not Applicable,Not Applicable,No,2016,8/27/2016 10:19,8/27/2016 10:19,"Damage or deterioration mechanism, Other Causes, Unknown;Substandard Acts, Improper loading","Incorrect Operation, Other Causes","Job or system factors, Inadequate engineering, Inadequate or improper controls;Job or system factors, Excessive wear and tear, Improper loading or rate of use","Engineering and Planning, Maintenance",No pipeline interruption,Transmission,Operation,SCADA,3/13/2018,Yes,No,Operation Beyond Design Limits,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Over Pressure,NA,0,OPR,MITSUE LATERAL - NPS 8,219.1,39.45358084,Natural Gas,NA,Meter,NA,NA,Canada,Yes,No,No,No,Forests,10 or fewer dwelling units per km,N/A,Level I,Standard Review - 168 days,No,NA,"Station/Facility, Compression, Compressor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2016,8,29
INC2016-100,Operation Beyond Design Limits,2016-08-25,Endiang,Alberta,NOVA Gas Transmission Ltd.,Closed,51.939713,-112.073701,0,Not Applicable,Not Applicable,No,2016,8/24/2016 10:38,8/24/2016 10:38,"Substandard Acts, Failure to react or correct",Incorrect Operation,"Job or system factors, Inadequate tools and equipment, Inadequate adjustment or repair or maintenance",Tools and Equipment,No pipeline interruption,Transmission,Maintenance,SCADA,3/13/2018,Yes,No,Operation Beyond Design Limits,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Over Pressure,NA,0,OPR,NORTH LATERAL EXTENSION - NPS 16,406.4,276.2667792,Natural Gas,NA,NA,NA,NA,Canada,No,Yes,Yes,No,Vegetative Barren,10 or fewer dwelling units per km,N/A,Level I,Standard Review - 168 days,No,NA,"Pipeline, Pipe, Body",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2016,8,25
INC2016-099,Adverse Environmental Effects,2016-08-25,Fort St. John,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.592508,-121.751213,0,Not Applicable,Not Applicable,Yes,2016,8/25/2016 8:45,8/25/2016 8:45,"Damage or deterioration mechanism, Other Causes, Unknown",Other Causes,"External Interference, Natural or Environmental Forces",Natural or Environmental Forces,No pipeline interruption,Gathering,Construction,Employee / Contractor (Onsite),6/22/2017,No,No,Adverse Environmental Effects,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Frac Out into Water Body,0,OPR,"12 Kobes Creek Lateral Pipeline""","12.00000000, 323.90000000",29.96125905,Natural Gas Sour,NA,NA,NA,NA,Canada,No,No,Yes,Yes,Agricultural Cropland,10 or fewer dwelling units per km,22.617,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2016,8,25
INC2016-098,Fire,2016-08-25,Smoky Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,54.09508652,-112.3058493,0,Not Applicable,Not Applicable,No,2016,8/23/2016 5:50,8/23/2016 5:50,"Substandard Conditions, Defective tools, equipment or materials",External Interference,"Job or system factors, Inadequate tools and equipment, Inadequate availability",Tools and Equipment,No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),5/8/2017,Yes,No,Fire,NA,NA,NA,No,NA,Equipment & Electrical,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,FLAT LAKE LOOP #2 (SMOKY LAKE SECTION) - NPS 20,508,27.77458198,Natural Gas,NA,Meter,NA,NA,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units per km,N/A,Level I,Standard Review - 168 days,No,NA,"Station/Facility, Compression, Auxiliary device(s) (please explain)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2016,8,25
INC2016-097,Release of Substance,2016-08-25,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Closed,53.54740268,-113.3557137,1e-4,Natural Gas Liquids,Gas,No,2016,8/25/2016 9:11,8/25/2016 9:11,"Substandard Acts, Failure to check or monitor",Incorrect Operation,"Personal factors, Lack of knowledge, Lack of situational awareness;Job or system factors, Inadequate communications, Incorrect instructions","Failure in communication, Human Factors",Short-term interruption,Transmission,Operation,Employee / Contractor (Onsite),12/1/2017,Yes,No,Release of Substance,Natural Gas Liquids,1e-4,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,NA,NA,NA,NA,EDMONTON TERMINAL,NA,53.54740268,-113.3557137,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units per km,N/A,Level I,Standard Review - 168 days,No,NA,"Pipeline, Valve, Ball, Ball",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2016,8,25
INC2016-096,Fire,2016-08-24,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Closed,49.26848937,-122.931342,0,Not Applicable,Not Applicable,No,2016,8/24/2016 11:05,8/24/2016 11:05,"Substandard Conditions, Weather Related, Temperature Extremes;Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Inadequate preparation or planning","External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Lack of situational awareness;Job or system factors, Inadequate leadership and/or supervision, Inadequate work planning or programming","Human Factors, Inadequate Supervision",No pipeline interruption,Transmission,Maintenance,Employee / Contractor (Onsite),11/2/2016,No,No,Fire,NA,NA,NA,No,NA,Equipment & Electrical,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,Mainline,610,1596.893888,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",BURNABY,NA,49.26848937,-122.931342,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units per km,NA,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2016,8,24
INC2016-095,Fire,2016-08-24,Hope,British Columbia,Trans Mountain Pipeline ULC,Closed,49.487583,-121.183421,0,Not Applicable,Not Applicable,No,2016,8/24/2016 1:00,8/24/2016 1:00,"Substandard Conditions, Defective tools, equipment or materials",External Interference,"Job or system factors, Excessive wear and tear, Inadequate maintenance",Maintenance,No pipeline interruption,Transmission,Maintenance,Employee / Contractor (Onsite),5/8/2017,Yes,No,Fire,NA,NA,NA,No,NA,Equipment & Electrical,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,Mainline,610,1596.893888,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",NA,Meter,NA,NA,Canada,No,No,Yes,No,Forests,10 or fewer dwelling units per km,984,Level I,Standard Review - 168 days,No,NA,Vehicle / mobile equipment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2016,8,24
INC2016-093,Fire,2016-08-14,Lodgepole,Alberta,NOVA Gas Transmission Ltd.,Closed,53.10047466,-115.3642386,0,Not Applicable,Not Applicable,No,2016,8/13/2016 2:15,8/13/2016 2:15,"Substandard Conditions, Weather Related, Adverse weather;Substandard Acts, Using defective equipment;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Defective tools, equipment or materials;Substandard Conditions, Fire and explosion hazards","External Interference, Incorrect Operation","Personal factors, Improper motivation, Improper attempt to save time or effort;Personal factors, Improper motivation, Improper supervisory example;Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Inadequate communications, Inadequate horizontal communication between peers;Job or system factors, Inadequate communications, Inadequate vertical communication between supervisor and person;Job or system factors, Inadequate communications, Inadequate communication methods ;Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Failure in communication, Human Factors, Maintenance, Standards and Procedures, Tools and Equipment",No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),12/13/2016,No,No,Fire,NA,NA,NA,No,NA,Welding or Cutting,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,WAS M/L - NPS 30,762,201.9819369,Natural Gas,LODGEPOLE,NA,53.10047466,-115.3642386,Canada,No,No,No,No,Developed Land - Industrial,10 or fewer dwelling units per km,80.7 km,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2016,8,14
INC2016-091,Fire,2016-08-13,Fort McKay,Alberta,NOVA Gas Transmission Ltd.,Closed,57.34,-111.68,0,Not Applicable,Not Applicable,No,2016,8/12/2016 3:00,8/12/2016 3:00,"Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Fire and explosion hazards","External Interference, Incorrect Operation","Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks",Tools and Equipment,No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),5/8/2017,No,No,Fire,NA,NA,NA,No,NA,Welding or Cutting,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,MCDERMOTT EXTENSION,508,7.71360032,Natural Gas Sweet,NA,NA,NA,NA,Canada,No,No,Yes,No,Forests,10 or fewer dwelling units per km,1.65,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2016,8,13
INC2016-090,Release of Substance,2016-08-11,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.9446616,578,Sulphur Dioxide,Miscellaneous,No,2016,8/10/2016 8:30,8/10/2016 8:30,"Damage or deterioration mechanism, Material Loss, Internal Material Loss",Corrosion and Cracking,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,NA,Processing,Operation,Employee / Contractor (Onsite),5/9/2017,Yes,No,Release of Substance,Sulphur Dioxide,578,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,PPR,NA,NA,NA,NA,PINE RIVER GAS PLANT (PRGP),NA,55.56909171,-121.9446616,Canada,No,No,No,No,Forests,10 or fewer dwelling units per km,NA,Level I,Standard Review - 168 days,No,NA,"Processing Plant, Sulphur plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2016,8,11
INC2016-089,Operation Beyond Design Limits,2016-08-08,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.95,-119.194,0,Not Applicable,Not Applicable,No,2016,8/5/2016 9:15,8/5/2016 9:15,"Substandard Conditions, Weather Related, Lightning",External Interference,"Job or system factors, Inadequate engineering, Inadequate or improper controls",Engineering and Planning,No pipeline interruption,Transmission,Operation,SCADA,3/13/2018,Yes,No,Operation Beyond Design Limits,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Over Pressure,NA,0,OPR,GRANDE PRAIRIE MAINLINE LOOP,"1067.00000000, 610.00000000, 762.00000000, 914.00000000",368.2235257,"Natural Gas, Natural Gas Sweet",NA,NA,NA,NA,Canada,Yes,No,No,No,Agricultural Cropland,10 or fewer dwelling units per km,38.8064,Level I,Standard Review - 168 days,No,NA,"Pipeline, Pipe, Body",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2016,8,8
INC2016-088,Release of Substance,2016-08-06,Saint John,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.28066,-66.0027,8,Natural Gas - Sweet,Gas,No,2016,NA,8/6/2016 4:30,"Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs;External Interference, Natural or Environmental Forces","Maintenance, Natural or Environmental Forces",No pipeline interruption,Transmission,Operation,Inspection Site Visit,5/8/2017,Yes,No,Release of Substance,Natural Gas - Sweet,8,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,BRUNSWICK PIPELINE,762,142.8732829,Natural Gas,NA,Meter,NA,NA,Canada,Yes,No,No,No,Developed Land - Industrial,46 or more dwelling units per km,8.7,Level I,Standard Review - 168 days,No,NA,"Pipeline, Instrumentation and controls",CSA Z662-2007,NPS 3/8,Stainless Steel,NA,NA,NA,NA,NA,9930,8935,NA,NA,NA,NA,2008,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,8/6/2016,No,7/6/2016,Visual,Yes,Yes,NA,NA,No,2016,8,6
INC2016-087,Release of Substance,2016-08-06,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.25124,-66.09725,30,Natural Gas - Sweet,Gas,No,2016,NA,8/6/2016 1:00,"Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)",Equipment Failure,"External Interference, Natural or Environmental Forces",Natural or Environmental Forces,No pipeline interruption,Transmission,Operation,Inspection Site Visit,8/2/2017,Yes,No,Release of Substance,Natural Gas - Sweet,30,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,Saint John lateral,406.4,104.6217048,Natural Gas,NA,NA,NA,NA,Canada,Yes,No,No,No,Developed Land - Small Commercial,46 or more dwelling units per km,92.2,Level I,Standard Review - 168 days,No,NA,"Pipeline, Instrumentation and controls",CSA Z662-99,NPS 3/8,Stainless Steel,NA,NA,NA,NA,NA,4480,NA,NA,NA,NA,NA,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,8/6/2016,No,4/19/2016,Visual,Yes,Yes,NA,NA,No,2016,8,6
INC2016-086,Release of Substance,2016-08-03,Boyle,Alberta,NOVA Gas Transmission Ltd.,Closed,54.85067,-112.82706,1,Natural Gas - Sweet,Gas,No,2016,NA,8/3/2016 12:40,"Damage or deterioration mechanism, Material Loss, External Material Loss, Poor Condition of External Coating, Disbondments",Corrosion and Cracking,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,No pipeline interruption,Transmission,Operation,Scheduled Patrol,2/20/2018,Yes,No,Release of Substance,Natural Gas - Sweet,1,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,FLAT LAKE LATERAL EXTENSION LOOP (CALLING LAKE SECTION) - NPS 10,273.1,22.49438419,Natural Gas,NA,NA,NA,NA,Canada,No,Yes,Yes,No,Agricultural Cropland,10 or fewer dwelling units per km,0.023,Level I,Standard Review - 168 days,No,REM-0377,"Pipeline, Pipe, Body",1976,NPS 10,Carbon Steel,359 - X52,NA,4.0 mm = 0.157 in,NA,4,8460,NA,7120,NA,NA,1976,1976,1976,-1409,Long Seam (Longitudinal),Straight,Electric Resistance Welded,2 o'clock,External,Polyethylene Tape Wrap,Disbonded,Field Applied,1976,No,Replacement,8/24/2016,Yes,NA,NA,No,Yes,NA,NA,No,2016,8,3
INC2016-085,Fire,2016-08-03,Oshawa,Ontario,TransCanada PipeLines Limited,Closed,43.988,-79.011,0,Not Applicable,Not Applicable,No,2016,8/2/2016 1:30,8/2/2016 1:30,"Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Inadequate guards or barriers;Substandard Conditions, Fire and explosion hazards;Substandard Conditions, Inadequate preparation or planning","External Interference, Incorrect Operation","Job or system factors, Inadequate leadership and/or supervision, Inadequate work planning or programming",Inadequate Supervision,No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),11/18/2016,No,No,Fire,NA,NA,NA,No,NA,Welding or Cutting,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Natural Gas,NA,NA,NA,NA,Canada,No,No,No,Yes,Agricultural Cropland,10 or fewer dwelling units per km,MLV 133+ 7.3,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2016,8,3
INC2016-084,Operation Beyond Design Limits,2016-07-30,Hardisty,Alberta,Enbridge Pipelines Inc.,Closed,52.63822644,-111.2786457,0,Not Applicable,Not Applicable,No,2016,7/30/2016 2:55,7/30/2016 2:55,"Substandard Acts, Failure to check or monitor;Substandard Conditions, Defective tools, equipment or materials","External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Lack of situational awareness;Job or system factors, Inadequate work standards, Inadequate development of standards, Coordination with process design","Human Factors, Standards and Procedures",No pipeline interruption,Transmission,Operation,SCADA,6/30/2017,Yes,No,Operation Beyond Design Limits,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Over Pressure,NA,0,OPR,HARDISTY TERMINAL PIPING - LINE 67,914,0.12071388,Crude Oil,HARDISTY,NA,52.63822644,-111.2786457,Canada,Yes,No,No,No,Developed Land - Industrial,46 or more dwelling units per km,N/A,Level I,Standard Review - 168 days,No,NA,"Station/Facility, Pumping, Pump",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2016,7,30
INC2016-083,Release of Substance,2016-07-27,Slave Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,55.51043,-113.46468,52000,Natural Gas - Sweet,Gas,Yes,2016,NA,7/26/2016 12:45,"Damage or deterioration mechanism, Material Loss, External Material Loss, Poor Condition of External Coating, Disbondments",Corrosion and Cracking,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,No pipeline interruption,Transmission,Operation,Scheduled Patrol,2/8/2018,No,No,Release of Substance,Natural Gas - Sweet,52000,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,ROCK ISLAND LAKE LATERAL - NPS 4,114.3,19.32986858,Natural Gas,NA,NA,NA,NA,Canada,Yes,No,Yes,No,Forests,10 or fewer dwelling units per km,Station 1640200+ 15.11km,Level I,Standard Review - 168 days,No,OM2016-247,"Pipeline, Pipe, Body",NA,NPS 4,Carbon Steel,290 - X42,NA,3.2 mm = 0.126 in,NA,3.2,8420,NA,3828,NA,NA,NA,1988,1988,-1.591,NA,Straight,Electric Resistance Welded,7 o'clock,External,Polyethylene Tape Wrap,Disbonded,Field Applied,1988,No,Replacement,8/2/2016,Yes,NA,NA,No,Yes,NA,NA,No,2016,7,27
INC2016-082,Operation Beyond Design Limits,2016-07-26,Pecten,Alberta,NOVA Gas Transmission Ltd.,Closed,49.30721239,-114.0149945,0,Not Applicable,Not Applicable,No,2016,7/25/2016 9:54,7/25/2016 9:54,"Damage or deterioration mechanism, Other Causes, Unknown",Other Causes,"Job or system factors, Inadequate engineering, Inadequate assessment of operational readiness",Engineering and Planning,No pipeline interruption,Transmission,Operation,SCADA,3/13/2018,Yes,No,Operation Beyond Design Limits,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Over Pressure,NA,0,OPR,WATERTON LATERAL - NPS 16,406.4,2.58406056,Natural Gas,WATERTON #1,NA,49.30721239,-114.0149945,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units per km,N/A,Level I,Standard Review - 168 days,No,NA,"Station/Facility, Compression, Instrumentation and controls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2016,7,26
INC2016-081,Release of Substance,2016-07-21,Edmonton & Sherwood Park,Alberta,Trans Mountain Pipeline ULC,Closed,53.54290845,-113.3644501,2.3,Diesel Fuel,Liquid,No,2016,7/21/2016 2:40,7/21/2016 2:42,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body;Damage or deterioration mechanism, Other Causes, Control System Malfunction;Substandard Conditions, Defective tools, equipment or materials","Defect and Deterioration, Equipment Failure, External Interference","Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring","Engineering and Planning, Maintenance",No pipeline interruption,Transmission,Maintenance,Employee / Contractor (Onsite),3/20/2018,Yes,No,Release of Substance,Diesel Fuel,2.3,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,Mainline,610,1596.893888,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",NA,NA,NA,NA,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units per km,0,Level I,Standard Review - 168 days,No,NA,"Storage, Tank, Aboveground",ASME B31(1951),NPS 1,Carbon Steel,241 - B,20,3.4 mm = 0.133 in,NA,3.4,2000,NA,6.805,NA,NA,NA,1953,1953,NA,NA,Seamless,NA,NA,External,Multi-layer,Flaked,Field Applied,NA,No,Replacement,7/22/2016,No,10/2/2014,Visual,Yes,No,1/20/2016,Testing of Functionality,Yes,2016,7,21
